,comment_id,score
0,tensor(114890),-0.2199125736951828
1,tensor(732895),-0.07194679230451584
2,tensor(1139051),-0.22455787658691406
3,tensor(1434512),-0.34849557280540466
4,tensor(2084821),-0.19588181376457214
5,tensor(2452675),-0.24602007865905762
6,tensor(3206615),-0.35754063725471497
7,tensor(3665348),-0.2203357070684433
8,tensor(4502494),-0.23863863945007324
9,tensor(4804786),-0.3051743507385254
10,tensor(4974702),-0.21518152952194214
11,tensor(5407955),-0.4836238622665405
12,tensor(5760889),-0.25201115012168884
13,tensor(6468556),-0.09537888318300247
14,tensor(6545351),-0.10754446685314178
15,tensor(7028828),-0.2492169439792633
16,tensor(7514418),0.08868414163589478
17,tensor(7681489),-0.2779209315776825
18,tensor(8163533),-0.1285075694322586
19,tensor(8259679),-0.13688018918037415
20,tensor(8351483),-0.35896095633506775
21,tensor(8565981),-0.30115604400634766
22,tensor(8660574),-0.22027014195919037
23,tensor(8689222),-0.2009623497724533
24,tensor(8724028),-0.30870169401168823
25,tensor(8726172),-0.17447757720947266
26,tensor(8768929),-0.2076614499092102
27,tensor(8809377),-0.1708652824163437
28,tensor(8855444),-0.280970960855484
29,tensor(8960885),-0.2156185507774353
30,tensor(8971984),-0.38366618752479553
31,tensor(9096917),-0.3000595271587372
32,tensor(9436902),-0.020555639639496803
33,tensor(9509686),-0.1468464583158493
34,tensor(9716206),-0.20137473940849304
35,tensor(9725692),-0.2741928994655609
36,tensor(9875604),-0.33875682950019836
37,tensor(10035416),-0.21297359466552734
38,tensor(10169491),-0.5064743161201477
39,tensor(10185780),-0.3536911904811859
40,tensor(10266382),-0.03328590840101242
41,tensor(10266787),-0.1039295345544815
42,tensor(10288920),-0.30768242478370667
43,tensor(10311993),-0.34290680289268494
44,tensor(10365624),-0.258022665977478
45,tensor(10491092),-0.3150795102119446
46,tensor(10563063),-0.24930614233016968
47,tensor(10572056),-0.3353879153728485
48,tensor(10627987),-0.28900671005249023
49,tensor(10638814),-0.391244500875473
50,tensor(10681670),-0.15178272128105164
51,tensor(11106931),-0.22864499688148499
52,tensor(11121620),-0.13943412899971008
53,tensor(11132709),-0.20339739322662354
54,tensor(11135750),-0.39965811371803284
